popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
29,0.689,0.745,4,-4.229,0,0.234,0.0264,0,0.351,0.231,92.018,252227,4
13,0.751,0.373,10,-15.717,0,0.644,0.645,0,0.0998,0.567,94.577,242053,4
0,0.738,0.746,10,-9.794,0,0.0461,0.00711,0.511,0.35,0.396,99.378,350573,4
46,0.734,0.891,9,-3.076,0,0.259,0.115,0,0.434,0.702,121.031,242052,4
21,0.382,0.932,0,-4.499,1,0.206,0.145,5.26E-06,0.816,0.461,86.51,161692,4
32,0.671,0.815,7,-5.536,1,0.22,0.0347,0,0.182,0.621,169.991,224507,4
15,0.737,0.705,7,-6.231,1,0.24,0.0579,0,0.321,0.557,86.401,238840,4
1,0.674,0.615,6,-7.534,0,0.0495,0.0384,0,0.341,0.884,164.014,176675,4
11,0.591,0.619,7,-5.056,0,0.0901,0.0796,0,0.116,0.332,142.852,181259,4
34,0.78,0.72,8,-8.012,0,0.271,0.174,0,0.122,0.184,99.025,219320,4
9,0.575,0.567,1,-10.315,1,0.8,0.655,0,0.329,0.731,85.595,216160,4
0,0.499,0.809,4,-5.828,0,0.316,0.275,0,0.147,0.443,146.501,215227,4
0,0.604,0.909,1,-5.83,1,0.241,0.0617,2.95E-05,0.107,0.389,120.013,121234,4
5,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4
8,0.695,0.91,1,-2.275,1,0.171,0.114,0,0.3,0.837,90.073,225507,4
17,0.553,0.549,7,-8.527,0,0.301,0.153,0,0.124,0.382,192.071,236404,4
7,0.63,0.903,7,-5.883,1,0.155,0.001,0,0.33,0.355,94.849,241453,4
12,0.699,0.653,2,-6.248,1,0.297,0.03,0,0.174,0.101,89.878,175775,4
41,0.755,0.536,5,-9.643,0,0.181,0.0133,0,0.0794,0.656,87.088,223867,4
56,0.858,0.76,4,-7.895,0,0.254,0.0217,0,0.322,0.951,93.082,247613,4
40,0.758,0.785,1,-7.539,1,0.287,0.16,0,0.0641,0.797,92.186,238293,4
19,0.744,0.974,9,-6.087,1,0.09,0.0449,4.08E-05,0.0273,0.667,153.929,304360,4
37,0.784,0.468,9,-9.158,0,0.0715,0.185,0.00178,0.1,0.606,134.951,225053,4
13,0.718,0.673,7,-3.791,1,0.266,0.00503,0,0.126,0.69,159.963,239240,4
