uri,title,popularity,base_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,n_artists,n_genres,followers_0,followers_1,followers_2,followers_3,followers_4,followers_5,followers_6
6L9c3eo0Mcfmom3QqsGN0j,Fiori Del Male (feat.Sfera Ebbasta),60,71,0.452,0.811,4,-4.409,0,0.11,0.0787,0,0.271,0.179,122.395,188146,4,2,1,0,0,4602336,0,0,0,0
6LC1d03JaBFQeRmwvcKi9s,GLI ALTRI (Giorni Stupidi),72,82,0.602,0.844,2,-3.903,1,0.142,0.0534,0,0.0662,0.499,93.952,201000,4,1,1,0,0,1518528,0,0,0,0
6LHhaWs0HzuPhflDWiVtp1,I duckinf hatw you,75,69.5,0.671,0.962,4,-5.509,1,0.481,0.0729,0.00663,0.376,0.183,114.003,117895,4,2,1,2480559,0,0,0,0,0,0
6LNoArVBBVZzUTUiAX2aKO,Off The Grid,82,95,0.546,0.64,8,-5.582,1,0.37,0.0438,0,0.137,0.63,137.728,339250,4,1,1,16004182,0,0,0,0,0,0
6LXNxwhLvR53AdDjlMif6x,Tegole,51,63,0.601,0.772,0,-6.409,0,0.211,0.598,0,0.14,0.503,79.348,192458,4,1,1,0,0,291336,0,0,0,0
6LbluAYZw4tTjLPyucyH5I,TAXI DRIVER,54,76,0.592,0.671,4,-6.565,1,0.073,0.37,0,0.133,0.584,144.466,168156,4,1,1,0,0,991118,0,0,0,0
6LcCFhsX2QjDD1lILjdBnv,Figli Di Puttana,67,79,0.575,0.891,11,-2.627,1,0.136,0.366,0,0.13,0.723,175.053,133200,4,1,1,0,0,0,0,471375,0,0
6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,75,85,0.816,0.629,2,-5.568,1,0.226,0.133,0,0.0692,0.714,96.493,131607,4,1,1,0,0,6427957,0,0,0,0
6Lirf3NITsaaDQNLOy1uby,Good Ones,4,81,0.764,0.672,7,-5.947,0,0.0293,0.072,3.32E-06,0.0806,0.789,129.049,136614,4,1,1,0,0,0,0,0,2509266,0
6LjPAOJVbDWw2kA2YKD4BY,Non Xdo La Testa X Una Ragazza,36,44.33333333,0.467,0.901,7,-3.455,1,0.0785,0.0301,0,0.0966,0.171,89.779,148000,4,3,3,5948,0,6422,0,6908,0,0
6LwMQrWQyzvjiICxdsUtFl,Life Goes On,0,81,0.7,0.49,0,-5.187,1,0.076,0.186,0,0.117,0.569,79.982,161803,4,1,1,0,0,1736778,0,0,0,0
6LzSfW8dsvL1FumnPPGLfR,Bonnie & Clyde,49,48,0.598,0.701,6,-7.655,0,0.126,0.453,0,0.104,0.214,159.972,198000,4,1,1,0,0,84173,0,0,0,0
6M1ydVLiP7lEwQkfOJEMzr,Evil - Live,39,41,0.596,0.707,8,-5.577,1,0.039,0.0309,0,0.0829,0.574,132.979,128222,4,1,1,5031,0,0,0,0,0,0
6M31fPFCYB8Job3MCjjrDV,They Don't Know About Us,79,88,0.514,0.727,0,-6.131,1,0.0492,0.126,0,0.0978,0.37,147.917,200400,4,1,1,0,0,0,0,0,24317570,0
6M4jdLdM7wLGungMV9gsCS,Smokin Out The Window,79,88.33333333,0.627,0.618,2,-8.529,1,0.0437,0.0558,0,0.351,0.848,82.03,197443,4,3,2,2064666,0,0,0,0,36749529,0
6M4nkEPZMj58acftDRTuKL,Tous les mêmes,71,76,0.701,0.637,5,-9.061,0,0.166,0.223,0.00219,0.279,0.647,109.959,210933,4,1,1,0,0,0,0,0,1985101,0
6M7epb5g32b1JmUaQBHTQJ,Oh Mama,51,76,0.683,0.742,8,-4.988,1,0.238,0.307,0,0.683,0.381,134.104,198880,4,1,1,0,0,991118,0,0,0,0
6MANSrI7vXWGALfjqHu6cR,Non È Mai Abbastanza,47,59,0.5,0.793,2,-5.59,1,0.0444,0.0291,0,0.682,0.34,125.193,227760,4,1,1,0,0,0,0,697905,0,0
6MC3lZanniHdWwuiXrXjhT,Never Be Lonely,51,64.66666667,0.729,0.799,8,-6.135,1,0.026,0.115,0.0147,0.153,0.293,124.951,165729,4,3,3,209,0,0,157357,607396,0,0
6MCig7VJTWhC8ErF9blcGf,Toy Boy,54,62,0.735,0.831,9,-4.036,1,0.0417,0.0901,1.61E-05,0.141,0.369,134.969,200699,4,1,1,0,0,1266398,0,0,0,0
6MERAQtSWXt3EFnI6UjXGy,I Nostri Anni,54,62,0.533,0.659,2,-3.977,1,0.0376,0.4,0,0.0714,0.303,80,218560,4,1,1,0,0,0,0,191744,0,0
6MOBfyoM7SNmm8XrBmuiTV,"Waltz No. 2 in A-Flat Major, Op. 34 No. 1 ""Valse brillante"": Vivace",0,61,0.283,0.124,8,-18.171,1,0.0436,0.994,0.842,0.207,0.147,64.805,296373,4,2,1,2627206,0,0,0,0,0,0
