"uri","title","popularity","base_popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","n_artists","n_genres","followers"
"04w57GO5p1763E44KQ8AKB","My Name (feat. Eminem & Nate Dogg)",2.01248414067073,80.66666667,0.842,0.738,11,-5.114,0,0.219,0.159,5.71e-05,0.0917,0.597,85.873,272507,4,3,1,50789465
"04zrPERrSO4CfyargthKJ9","Bla Bla Bla",4.01712381315932,73,0.821,0.833,3,-8.291,0,0.0821,0.0734,0.544,0.0739,0.961,132.975,255547,4,1,1,607396
"051yIUwgzFc5v7ed3SYmTl","I grandi non piangono mai",1.46864219321098,62,0.695,0.585,1,-8.776,0,0.0759,0.25,0,0.106,0.528,85.052,226200,4,1,1,745998
"053trmldheiFgDGCGgZ4WW","La Vita Com'è",4.44834522479658,57,0.618,0.763,10,-6.075,0,0.0379,0.00897,0,0.3,0.963,152.018,233205,4,1,1,230424
"05G23JkXHRv3NJ9hENaafi","Anche Fragile",3.81031292935078,68,0.435,0.578,2,-3.796,1,0.032,0.275,0,0.158,0.147,130.455,239693,3,1,1,918575
"05G7GqOjkYKObUWFDownVV","Quel filo che ci unisce",3.42039104548917,72,0.578,0.601,8,-9.019,1,0.323,0.554,0,0.105,0.459,146.099,254653,4,1,1,2572169
"05HGu6fi32RmJRO5PBJ4Va","Opinel",1.4012732191502,65,0.738,0.548,0,-9.888,1,0.474,0.0876,0.000443,0.279,0.884,139.549,137143,4,1,1,53928
"05ZaaO3XTZQ5rwBNGetYMV","Chicchi di riso",1.43820471999918,66.5,0.577,0.779,0,-6.726,0,0.18,0.163,0,0.079,0.605,99.628,206400,4,2,1,435006
"05bfbizlM5AX6Mf1RRyMho","AM Remix",2.63574227311992,92,0.743,0.655,6,-5.015,0,0.159,0.114,0,0.0764,0.785,172.031,261335,4,3,1,41532395
"05bnEv2dpFzmGVLGdjD9UP","Orlando",1.57513983973772,91,0.57,0.0279,1,-22.282,1,0.0588,0.859,0.0892,0.254,0.28,84.902,163840,4,1,1,33466773
