artist,popularity,base_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,n_artists,n_genres
4lajcWQSiNMQ4b76eevJ5f,61,49.5,0.415,0.563,10,-7.476,1,0.0382,0.0129,0,0.164,0.412,142.469,188941,4,4,3
4Lc0H5jSJ31gADuN7rqV6d,58,43,0.379,0.606,1,-12.571,0,0.113,0.344,1,0.427,0.23,130.078,207377,4,1,1
4lDBihdpMlOalxy1jkUbPl,83,76.33333333,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732,4,3,2
4LEiUm1SRbFMgfqnQTwUbQ,84,90,0.298,0.38,6,-8.426,1,0.0287,0.778,0,0.11,0.152,75.602,285634,4,2,1
4lianjyuR1tqf6oUX8kjrZ,53.25,62,0.55,0.596,4,-8.231125,0.75,0.0367,0.3518125,0,0.1771375,0.505625,115.125,244004.5,3.875,1,1
4lpAOmVI9BujcSVdNyfEnx,48,36,0.916,0.971,2,-3.36,0,0.114,0.669,0,0.0576,0.904,119.03,179496,4,2,1
4LpiPEbugrS0G567bgpttT,43,34,0.666,0.47,2,-10.051,0,0.048,0.959,1,0.0804,0.376,111.114,83261,4,1,1
4LqXqd68BBoEk9RDYeS0ls,73,61,0.893,0.823,5,-3.708,0,0.122,0.0714,0,0.0509,0.902,128.009,245467,4,5,1
4lSumeUuEBPEwWcozc0oba,48,43.33333333,0.872,0.441,9,-9.795,1,0.0824,0.142,1,0.0868,0.369,125.01,271907,4,3,2
4lxfqrEsLX6N1N4OCSkILp,76,79,0.559333333,0.37,1.666666667,-10.299,0.666666667,0.029866667,0.507333333,0,0.0772,0.281666667,145.1996667,289773,4,1,1
4lXqyfnO42fw7mPGF5ZXjR,43,49,0.623,0.807,1,-3.184,0,0.187,0.0702,0,0.0637,0.395,141.406,197716,4,2,1
4Ly0KABsxlx4fNj63zJTrF,78,67,0.4,0.479,8,-7.989,0,0.0308,0.0529,0,0.115,0.213,166.159,229173,4,1,1
4m5Q5dkUmHWPBLHp0qopuK,37,22,0.608,0.924,7,-3.797,1,0.0472,0.000732,1,0.0726,0.787,160.036,208160,4,1,1
4mAsWDGLUIEdo6imU77WG6,60.16666667,65.83333333,0.708666667,0.726,2.666666667,-5.9785,0.833333333,0.135183333,0.2161,0,0.170633333,0.632,99.82966667,183640.1667,4,1.833333333,1.5
4MCBfE4596Uoi2O4DtmEMz,81.75,94.52083333,0.640833333,0.658125,4.166666667,-6.037,0.583333333,0.135316667,0.151341667,0,0.1850875,0.390470833,134.390375,196779.7083,4.083333333,1.75,1.333333333
4MdQ9btIlh6rzIMA19tu3L,36,45,0.379,0.113,1,-14.795,1,0.0286,0.963,1,0.117,0.112,81.396,304875,4,2,2
4ME85YvMUi1hdqhbind7gy,76,66.5,0.498,0.862,7,-6.02,0,0.0589,0.000313,1,0.352,0.47,128.034,192294,4,2,2
